url, google maps link, basic info, walking, bicycling, transit,
https://chicago.craigslist.org/chc/apa/d/chicago-845-nrockwell-st/7127394577.html, https://www.google.com/maps/search/41.887850,-87.702999, 2BR  /  1Ba 1000 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg street parking, 1 hour 19 mins, 26 mins, 40 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-large-studio-easy-walk-to-the/7127387552.html, https://www.google.com/maps/search/42.011531,-87.668357, 0BR  /  1Ba cats are OK - purrr apartment laundry in bldg, 3 hours 28 mins, 1 hour 5 mins, 1 hour 8 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-awesome-modern-1bed-in-lincoln/7127386478.html, https://www.google.com/maps/search/41.964939,-87.686520, 1BR  /  1Ba available jun 1 cats are OK - purrr apartment w/d in unit street parking, 2 hours 28 mins, 46 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/saint-charles-waived-150-admin-fee/7127383156.html, https://www.google.com/maps/search/41.919400,-88.307000, 1BR  /  1Ba 650 ft 2 cats are OK - purrr dogs are OK - wooof apartment w/d in unit off-street parking, 12 hours 10 mins, 3 hours 40 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-july-rentals-4bd-3ba-in/7127381741.html, https://www.google.com/maps/search/41.945532,-87.656855, 4BR  /  3Ba available jul 1 cats are OK - purrr duplex w/d in unit carport, 1 hour 52 mins, 37 mins, 50 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-granite-stainless-steel-central/7127381532.html, https://www.google.com/maps/search/41.997425,-87.707022, 2BR  /  1Ba available jul 1 cats are OK - purrr apartment w/d in unit street parking, 3 hours 23 mins, 1 hour 3 mins, 1 hour 10 mins,
https://chicago.craigslist.org/sox/apa/d/chicago-3-bedroom-2-bath-duplex/7127380565.html, https://www.google.com/maps/search/41.981831,-87.775560, 3BR  /  2Ba available may 20 duplex w/d in unit, 3 hours 40 mins, 1 hour 8 mins, 56 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-gold-coast-beautiful-one/7127380346.html, https://www.google.com/maps/search/41.903300,-87.633600, 1BR  /  1Ba available jul 1 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg off-street parking wheelchair accessible, 1 hour 3 mins, 21 mins, 32 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-roommate-wanted-4-bed-2-bath/7127379085.html, https://www.google.com/maps/search/41.942532,-87.666810, 4BR  /  2Ba 1800 ft 2 application fee details:  $38 apartment laundry in bldg street parking, 1 hour 53 mins, 37 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-top-floor-3bed-with/7127378365.html, https://www.google.com/maps/search/41.938664,-87.659075, 3BR  /  2Ba available jul 1 cats are OK - purrr apartment w/d in unit off-street parking, 1 hour 43 mins, 34 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-1504-henderson-sunny-large/7127378021.html, https://www.google.com/maps/search/41.942532,-87.666355, 3BR  /  2Ba 1800 ft 2 application fee details:  $38 credit check cats are OK - purrr apartment w/d in unit street parking, 1 hour 52 mins, 37 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-2bd-2ba-available/7127377383.html, https://www.google.com/maps/search/41.886783,-87.647538, 2BR  /  2Ba 1016 ft 2 available jun 1 application fee details:  $50/person for general credit/background check broker fee details:  Absolutely FREE cats are OK - purrr dogs are OK - wooof apartment w/d in unit listed by:  Jenny Lewis, Downtown Apartment Company no smoking attached garage wheelchair accessible, 26 mins, 8 mins, 18 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-bucktown-extra-large-3-bed-2/7127376372.html, https://www.google.com/maps/search/41.915635,-87.687250, 3BR  /  2Ba 1800 ft 2 available jul 1 cats are OK - purrr apartment w/d in unit attached garage, 1 hour 26 mins, 28 mins, 27 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-1bdden-2ba-available/7127373609.html, https://www.google.com/maps/search/41.886783,-87.647538, 1BR  /  2Ba 897 ft 2 available jul 24 application fee details:  $50/person for general credit/background check broker fee details:  Absolutely FREE cats are OK - purrr dogs are OK - wooof apartment w/d in unit listed by:  Jenny Lewis, Downtown Apartment Company no smoking attached garage wheelchair accessible, 26 mins, 8 mins, 18 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-4-bed-3-bath-2-living-spaces-2/7127370536.html, https://www.google.com/maps/search/41.906435,-87.665217, 4BR  /  3Ba available jun 1 cats are OK - purrr dogs are OK - wooof apartment w/d in unit off-street parking, 1 hour 2 mins, 19 mins, 29 mins,
